id,title,description,content,sourceLink,sourcePublishedAt,author,sourceMedia,sourceReferenceImages,sourceVideos
1889,Gundam Transformation Video Prompt (Seedance 2.0),"A highly detailed, multi-scene prompt for Seedance 2.0 to generate a realistic, sci-fi mecha transformation video in the style of Hollywood visual effects. The prompt specifies a character based on a reference image, a heavy industrial 80-meter tall mecha, cinematic camera work (handheld, slow push, wide-angle), and a dramatic transformation sequence from a human pilot to a giant mecha landing in the ocean.","核心主题：写实科技感，科幻机甲，磅礴史诗，重工业机械美学，真人演绎，极限运动 人物设定： 参考
图片3
，完全相同，身高1.7米，面部有微脏感；红色特勤作战服，高科技战术马甲，臂腕带屏控制器，服装和配饰有明显污渍、划痕与使用痕迹；深黑夜晚，光线偏暗，表情坚毅，眉头微皱。 场景与机甲： 未来感飞船船舱，海上万米高空，乌云闪电，海面海雾，能见度低；80米高重型机甲，真实金属质感，重工业机械美学。 画质与氛围： IMAX胶片摄影，Panavision C系列镜头，动态模糊；好莱坞青橙色调，低饱和度，暗部细节保留，胶片颗粒感，轻微柔焦；写实科幻史诗风格，机械感与重量感，好莱坞级视觉特效。 镜头与画面： 手持一镜到底，轻微呼吸感镜头浮动；开场平视近景，后拉跟随，跳机变身时仰拍大全景，机甲落地后环绕过肩拍摄；人物激活控制器，穿戴虚拟机械臂铠，全息投影熄灭后虚拟臂铠保留，控制器显示红色“START”。 （0-4秒） 核心画面：夜晚，未来感飞船船舱内，特勤人员在行走中激活控制器并穿戴虚拟臂铠。 人物：参考
图片3
，1.7米，眉头微皱，表情坚毅，特勤黑色作战服，战术马甲，带屏控制器，服装有污渍划痕。 动作：行走中点击左臂控制器，激活全息投影，右手伸入投影穿戴红色机械臂铠，浅蓝色投影读条显示“SUCCESS”后熄灭，臂铠保留在右手上，控制器变为红色“START”。 （4-6秒） 核心画面：人物跃出船舱，在空中双手展开，0.5s转体旋转360度后保持滑翔、预备的姿态，激活启动指令。 动作：走到跳伞平台，向前跨出，0.5s转体旋转360度后双手向两侧完全展开，做出经典的巨型机甲变身前滑翔姿态。高速下坠中，点击左臂控制器激活“启动协议”（Protocol Start），伴随戏剧化的数字化浅蓝色调全息界面。 镜头：极速下坠拉近镜头，随后匹配人物速度保持距离，捕捉其滑翔预备姿态。 环境：海上万米高空，乌云闪电，海雾弥漫，能见度低 (6-8秒） 核心画面：机甲部件有序全息影像扩增变大，精确、高速地在人物周围组合成实体机甲中机甲各部件飞掠、组合的动作）。 变身过程（关键点）： 人物（比例1:47）在空中保持滑翔姿态，两套巨大的腿部和脚部部件（具有重工业机械美学，非方块）机甲全息虚拟影像从下方和侧面扩张蔓延，精确地附着并锁定在人物的下方，人物双脚踩入实体机甲。 两套巨大的手臂部件（包括保留的右手机械臂铠）和胸部核心部件全息虚拟投影变大扩增蔓延，精确地定位、对接并锁定，将人物身体完全包裹，外部实体机甲框架显现。 最后，机甲的头部和经典的V字天线部件从角色面部以全息虚拟投影变大扩增蔓延，旋转并锁定在顶部，形成实体机甲双眼点亮。 视觉：在部件全息投影扩张蔓延和组合时，有细腻的粒子对齐、机械锁定和能量释放效果，有炫酷的粒子和光线。 比例：人物（占比极小）完全融合在机甲核心内，变身过程流畅、有序、一气呵成。 镜头：仰拍，机甲框架占满画面。 （8-11秒） 核心画面：机甲组合完毕，在空中短暂停留并摆出经典的巨型机甲完成姿态，高速下坠准备着陆。 动作：机甲在空中组合完成瞬间，头部天线弹出，双眼点亮（产生镜头光斑），双手（特别是右手的虚拟/机械臂铠）做出经典的“完成”或“滑翔后准备”姿态。随后，机甲姿态转换，全身推进器点亮，高速下坠。 机甲细节：哑光涂装磨损掉漆，关节油污，推进器点亮，产生镜头光斑。 动态：高速下坠，边缘棱角发红发烫，留下拖尾轨迹。 （11-12秒） （保留原动作，重现重型着陆感） 核心画面：机甲如陨石般砸向海面，单脚跪姿单手撑地着陆，激起滔天巨浪。 着陆：机体悬挂压缩，回弹有厚重阻尼感。 海面：深蓝色海面被砸开，数百米高环形水墙扩散，水下水花与气泡漩涡，排山倒海的冲击力。",https://x.com/Aleph6Zero9/status/2035725852600897697,2026-03-22T14:30:39.000Z,"{""name"":""JingleKitty"",""link"":""https://x.com/Aleph6Zero9""}",[],[],"[{""id"":""69c0d9d32c73b100043cc04e"",""url"":""https://video.twimg.com/amplify_video/2035725210452967424/vid/avc1/1280x720/UuKyh_vH3-murFDE.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2035725210452967424/img/3-dtR_XCR6UFtRVG.jpg"",""caption"":null}]"
1888,Immersion Follow-up Video Prompt (Seedance 2.0),"A very long and detailed multi-scene prompt for Seedance 2.0 to generate a 15-second video featuring a 'Little Junior Sister' character in an ethereal, sweet, ancient Chinese style. The prompt specifies six 2.5-second shots with detailed camera movements (first-person follow, side follow, slow rotation, push-in, overhead), character actions (invitation, touching flowers, dancing), setting (immortal sect architecture, peach blossoms, mist), and visual effects (soft light, flowing fabric, sparkling hairpins).",风格：仙气古风、清新甜美、第一视角沉浸式跟随、柔光唯美 总时长：15s = 6 个分镜 × 2.5s / 镜（单镜≤3s，符合要求） 核心人设：小师妹｜月白浅粉渐变纱衣、广袖飘逸、满头blingbling 珍珠碎钻发簪、眉眼清甜、软萌灵动 背景：仙门古建（飞檐回廊、桃花枝、青石地、薄雾、宫灯、流水） 内容：小师妹主动带路参观 + 即兴轻舞，沉浸式治愈感 完整分镜脚本（动作极详细，即梦直接适配） 镜头 1｜2.5s｜第一视角跟随・近景 + 慢推 运镜：第一视角向前慢推，沉浸式迎面走来 画面 & 动作： 小师妹站在古建回廊口，侧身回头对你笑，眼弯成月牙； 右手轻轻撩起一侧纱袖，左手自然垂在身侧，发簪随转头闪细碎光； 脚尖轻点青石地，小碎步上前，主动伸手做「跟我来」的邀请手势。 背景：木质飞檐、垂挂白纱、淡粉桃花枝、薄雾轻绕 特效：发丝柔光、发簪碎钻反光、浅淡花瓣粒子 镜头 2｜2.5s｜侧跟运镜・中景・移步参观 运镜：第一视角侧跟，平稳移动 画面 & 动作： 小师妹转身带路，广袖纱衣随风轻飘； 左手轻扶回廊木栏，右手自然摆动，步伐轻盈小碎步； 路过桃花枝时，抬手轻轻拂过花瓣，指尖碰落两瓣桃花，回头对你甜甜眨眼。 背景：古建回廊、青石步道、垂枝桃花、朦胧宫灯 特效：花瓣飘落、裙摆动态飘纱、发簪流光 镜头 3｜2.5s｜环绕运镜・中景・庭院驻足 运镜：慢环绕小师妹半圈，沉浸式看庭院全景 画面 & 动作： 走到庭院中央，小师妹停下转身面向你； 双手背在身后，脚尖微微踮起，歪头笑，介绍庭院； 发簪随歪头晃动，blingbling 反光，纱衣下摆轻旋。 背景：仙门古建庭院、石桌石凳、薄雾、远山飞檐、满庭桃花 特效：地面柔光、淡雾流动、花瓣慢落 镜头 4｜2.5s｜近景推镜・起手式・预备跳舞 运镜：镜头快速轻推至半身近景 画面 & 动作： 小师妹轻声一笑，双手缓缓抬起至肩侧，广袖自然展开； 左脚轻踏半步，重心微侧，身体微微后仰，做古典舞起手式； 眉眼温柔，发丝轻扬，发簪在柔光下闪钻光，仙气拉满。 背景：虚化古建庭院，聚焦人物 特效：袖摆流光、周身淡粉色仙气光晕、细碎星光粒子 镜头 5｜2.5s｜全景俯拍・轻舞旋转・核心表演 运镜：轻俯拍 + 小幅环绕，唯美全景 画面 & 动作： 小师妹原地小旋身 1 圈，广袖纱衣完全展开如花瓣； 右手高举拂袖过头顶，左手轻按腰侧，脚尖点地小跳； 舞步轻柔，裙摆飘飞，发簪随旋转闪连续亮光，笑容甜美。 背景：古建飞檐、满庭桃花、薄雾环绕、沉浸式全景 特效：旋身带粉色光尾、花瓣随舞步飞起、仙气雾效 镜头 6｜2.5s｜近景定格・收尾比心・甜美收尾 运镜：镜头拉回近景，轻微定格 画面 & 动作： 旋身停下，小师妹面向你，双手在脸颊旁比出小巧爱心； 头轻轻歪向一侧，甜甜笑，发簪垂落碎光； 纱袖轻垂，脚步站稳，温柔收尾。 背景：模糊古建 + 桃花，柔光特写 特效：爱心淡光效、发簪 blingbling 高光、花瓣收尾飘落 即梦「一键复制」生成指令（逐镜直接粘贴） 镜头 1（2.5s） 第一视角沉浸式，古风仙气小师妹，月白浅粉纱衣，满头 blingbling 珍珠钻发簪，清新甜美，回廊口回头笑，小碎步上前伸手邀请，古建飞檐白纱桃花，薄雾柔光，发簪反光，花瓣粒子，唯美古风，高清流畅 镜头 2（2.5s） 第一视角侧跟，仙气小师妹带路，轻扶古建木栏，拂过桃花枝，回头眨眼甜笑，广袖纱衣飘逸，青石回廊桃花，动态飘纱，发簪流光，花瓣飘落，沉浸式古风，高清 镜头 3（2.5s） 慢环绕运镜，仙气小师妹庭院驻足，背手踮脚歪头笑，介绍庭院，古建庭院石桌桃花，薄雾柔光，发簪 blingbling 反光，清新甜美，沉浸式古风，高清 镜头 4（2.5s） 轻推近景，仙气小师妹古典舞起手式，抬手展袖，侧身踮脚，眉眼温柔，纱衣广袖飘逸，发簪钻光，周身淡粉仙气光晕，星光粒子，唯美古风，高清 镜头 5（2.5s） 轻俯拍环绕，仙气小师妹轻舞旋身 1 圈，广袖展开如花瓣，踮脚小跳拂袖，裙摆飘飞，古建庭院桃花薄雾，旋身光尾花瓣飞舞，发簪流光，高燃唯美古风，高清 镜头 6（2.5s） 近景定格，仙气小师妹跳舞跳舞收尾，双手比心歪头甜笑，纱袖轻垂，发簪碎钻高光，爱心光效，桃花花瓣收尾，古建柔光背景，清新甜美仙气，高清流,https://x.com/Soranlan/status/2035942290494001419,2026-03-23T04:50:42.000Z,"{""name"":""Soran"",""link"":""https://x.com/Soranlan""}",[],[],"[{""id"":""69c0d9d32c73b100043cc04d"",""url"":""https://video.twimg.com/amplify_video/2035941625868812288/vid/avc1/720x1280/8FCmlUcEmg_pNTIT.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2035941625868812288/img/E49y1ehKrvIJmuoO.jpg"",""caption"":null}]"
1887,Seedance 2.0 Aerial Dogfight Prompt,"A highly detailed, multi-scene Seedance 2.0 prompt for generating an aerial dogfight video between a black-gold heavy mech and a silver streamlined fighter jet over a grand Thai temple complex, specifying cinematography, atmosphere, and sound design for each 2-3 second segment.","镜头1·2s·建立】 主体: 黑金重型机甲战机
图片1
，浮雕纹路装甲，球形深色座舱，关节外展 场景: 泰国宏大寺庙群上空，晨雾，金塔若隐若现，山地铺展远方 动作: 从云雾中俯冲而出，压低机头直扑寺庙上空，展开武器挂架 风格: 70年代纪录片胶片质感，暖金色调，轻微颗粒感 镜头: 全景俯视缓慢推进，相机位于云层下方(thats where the camera is) 构图: 引导线构图，机甲指向远处佛塔群 氛围: 晨光漫射，史诗压迫感 音频: 山风声；低频定音鼓；重型引擎低鸣 【镜头2·2s·转折】 主体: 白银流线型战机@图片2，座舱内仿生女驾驶员@图片3
，黑发马尾，白色西装，银色机械颈臂，红唇，神情冷静 场景: 金塔侧面空中，晨光斜射，金塔在机身形成反光 动作: 从左侧高速切入，驾驶员扫视锁定仪表，视线坚定锁死目标 风格: 硬科幻银灰主调，金色环境光对比 镜头: 中景平视快速追踪，相机位于战机右翼侧面(thats where the camera is) 构图: 三分法，驾驶员占左，金塔群占右 氛围: 剑拔弩张，蓝白仪表冷光 音频: 导弹锁定提示音；铜管乐加入节奏加快 【镜头3·3s·冲突】 主体: 黑金机甲与白银战机双机缠斗 场景: 金塔群之间低空，屋脊近在咫尺，晨雾 动作: 机甲连发橙色能量炮，白银战机翻滚规避，火焰掠过金塔迸溅碎石，双机交错穿越塔群 风格: 胶片颗粒感，爆炸橙与冷银强烈对比 镜头: 侧视快速跟拍，相机位于两机之间侧面(thats where the camera is) 构图: 景深，金塔前景遮挡框架 氛围: 惨烈激昂，火焰映红金塔，硝烟弥漫 音频: 激光炮噼啪声+金属碰撞+碎石飞溅；铜管高潮 【镜头4·2s·高潮】 主体: 仿生女驾驶员，白色西装，银色机械手臂，齿轮耳环，红唇，神情决绝 场景: 白银战机座舱内，红色警示灯闪烁，全息仪表显示敌机坐标 动作: 环视座舱确认位置，银色机械手猛推发射按钮，嘴角微扬冷笑 风格: 硬科幻冷调，银灰+深红警示光 镜头: 极特写平视固定，相机位于仪表板正前方(thats where the camera is) 构图: 中心构图，面部为视觉焦点 氛围: 决绝冷静，红光侧打 音频: 导弹点火尖锐喷射音；交响乐推至最强音 【镜头5·3s·高潮】 主体: 白色重型导弹，蓝白尾焰 场景: 金塔群上方晨光，山地清晰，坠落轨迹指向黑金机甲 动作: 导弹脱离弹仓，蓝白尾焰照亮金塔，高速追踪，击中机甲核心产生白色闪光 风格: 写实硬科幻，蓝白光爆与暖金对冲 镜头: 特写低角度仰视快速推镜，相机位于导弹轨迹正下方(thats where the camera is) 构图: 引导线，导弹轨迹延伸至目标 氛围: 震撼，强光泛滥，物理感极强 音频: 破空尖啸渐强+巨大冲击爆炸；交响乐最强音 【镜头6·3s·解决】 主体: 黑金重型机甲解体爆炸 场景: 金塔群正上方，晨光背景，山地延伸至地平线 动作: 机甲颤抖冒出橙红火球，装甲板炸裂四散，金色碎片在阳光中翻滚，拖黑烟坠向山地 风格: 慢镜头，橙红+黑烟+金塔金色背景，胶片质感 镜头: 全景侧视固定，相机位于与机甲等高的远处(thats where the camera is) 构图: 爆炸火球居中，金塔群宏大背景 氛围: 悲壮，金色圣地见证败亡 音频: 殉爆声+金属扭曲+碎片穿空；悲壮交响乐终章缓降 【镜头7·2s·解决】 主体: 白银战机，驾驶员侧影可见 场景: 金塔群上方，晨光强逆光，坠落黑烟在画面边缘隐现 动作: 平稳掠过金塔塔尖，驾驶员侧头望向残骸，从容加速远去 风格: 70年代暖金胶片逆光，剪影感 镜头: 中景背视缓慢拉远，相机位于战机正后方略低处(thats where the camera is) 构图: 逆光剪影，战机居左，金塔晨光居右 氛围: 胜利静谧，悲壮与释然并存 音频: 主引擎低鸣渐远；BGM缓缓收尾；无水印、无字幕、无文字叠加",https://x.com/john87445528/status/2035924303045104062,2026-03-23T03:39:14.000Z,"{""name"":""John"",""link"":""https://x.com/john87445528""}",[],[],"[{""id"":""69c0d9d12c73b100043cc04b"",""url"":""https://video.twimg.com/amplify_video/2035923402150580224/vid/avc1/1920x1080/RLYP_pLpyvyZvIPc.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2035923402150580224/img/oCk3R_n9_XBm4ZfB.jpg"",""caption"":null}]"
1886,Seamless Four-Season Skate/Snowboard Journey Video Prompt,"A detailed, multi-part prompt for Seedance 2.0 to generate a seamless, one-shot video of an anime-style girl skateboarding and snowboarding through the four seasons. The prompt specifies complex camera movements (first-person POV, ultra-wide angle, slight shake), precise action choreography (standard movements, no distortion), smooth seasonal transitions, and audio matching the action rhythm.","背景音乐节奏与滑板/滑雪动作速度完全匹配，背景音乐音量低于实景音效，不掩盖滑板与滑雪音效
第一人称滑板后仰视视角，超广角强透视，镜头微晃模拟跟滑体感，一镜到底无切镜、无转场、无断切，人物动作标准流畅，无动作畸变，无多余360度转身，人体结构正常
 
春季：二次元COS小姐姐，穿春季轻薄运动衣，低速入弯快速提速，豚跳压弯，路边嫩绿草木鲜花，海面波光，车轮轻微残影
春转夏：小姐姐做出高难度豚跳，瞬间慢镜头，镜头缓慢环绕人物一圈，服装自然渐变夏季短袖，场景顺滑变为盛夏浓绿，季节过渡柔和无突变
 
夏季：二次元COS小姐姐高速S弯滑行，内转180豚跳加脚尖翻板，动作干净标准，强动态模糊与速度线
夏转秋：小姐姐做出高难度空中转体，瞬间慢镜头，镜头缓慢环绕人物一圈，服装自然渐变秋季长袖外套，场景渐变秋日枫树林，天空飘金黄落叶，过渡自然无突变
 
秋季：二次元COS小姐姐简短高速滑行衔接，落叶飞舞，画面简洁流畅，动作标准无畸变
秋转冬：小姐姐做出高难度腾空动作，瞬间慢镜头，镜头缓慢环绕人物一圈，服装自然渐变冬季专业滑雪服，滑板顺滑变为滑雪板，场景渐变冬日雪山雪景，天空飘雪，地面变为雪道，无突变无畸变
 
冬季：时长大幅加长，二次元COS小姐姐在雪道流畅高速滑行，连续流畅转弯，姿态帅气舒展，雪雾飞扬，雪景大气开阔，无多余旋转、无360转身、无动作畸变；滑行一段后，最后做出一个超帅强力滑雪刹车定格动作，身体重心压低，背影帅气，滑雪板在雪地划出清晰帅车痕迹，以雪山雪景完美收尾
 
音效：滑板滚动、豚跳、摩擦声，自然过渡为滑雪板滑行声、雪地制动声，风声随速度变化；全程一镜到底，季节过渡柔和连贯，动作稳定不畸变，无多余旋转
二次元画风，精致五官，高清画质，光影自然，动作稳定不崩坏",https://x.com/Adam38363368936/status/2035596453650010513,2026-03-22T05:56:28.000Z,"{""name"":""Adam也叫吉米"",""link"":""https://x.com/Adam38363368936""}",[],[],"[{""id"":""69c0d9cf2c73b100043cc04a"",""url"":""https://video.twimg.com/amplify_video/2035595318755266560/vid/avc1/1280x720/SxOpTe8euKNCNaJ2.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2035595318755266560/img/yeKyF-WEicHsCPit.jpg"",""caption"":null}]"
1885,Seedance 2.0 Prompt for Dancing Girl Video,"A Seedance 2.0 video generation prompt for creating a realistic-style video of a beautiful girl dancing to Future House music in a bedroom setting, with specific camera movements and lighting effects. The prompt uses references to external images for the subject and clothing.",真人实拍风格，一位美丽少女@【@图2】她留着黑色的长发，穿着吊带裙参考@【@图1】，皮肤白皙，正随着Future House风格的DJ舞曲俏皮地舞动，舞蹈动作包含俏皮的摆胯、手臂波浪步和定点pose，且与音乐节拍完全吻合；镜头会跟着音乐节拍前后推拉运镜，背景是在卧室里面，顶部有柔和的聚光灯打下来照亮少女，整体光影柔和、氛围感强，画面比例为9:16。排除：模糊，低清，噪点，水印，文字，logo，扭曲，变形，五官崩坏，动作僵硬，画面抖动，比例失调。,https://x.com/Adam38363368936/status/2035876116473549283,2026-03-23T00:27:45.000Z,"{""name"":""Adam也叫吉米"",""link"":""https://x.com/Adam38363368936""}",[],[],"[{""id"":""69c0d9ce2c73b100043cc049"",""url"":""https://video.twimg.com/amplify_video/2035875342712496128/vid/avc1/720x1280/QkC1jP3L8jeS35yH.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2035875342712496128/img/Zv9yZL6ieOwLHA_7.jpg"",""caption"":null}]"
1884,Viral Game Comedy Video Prompt,"A highly structured video generation prompt for Seedance 2.0, specifying format details (15s, multi-cut, 6 beats, high-viral game comedy) and detailing two subjects: a spirited young customer and a charismatic shrimp chef.","FORMAT: 15s / MULTI-CUT / 6 BEATS / HIGH-VIRAL GAME COMEDY

SUBJECTS: A spirited young customer with huge expressive eyes, varsity jacket, sneakers, and bouncy cartoon timing. A charismatic shrimp chef with a tall paper hat,",https://x.com/aimikoda/status/2035589081522917542,2026-03-22T05:27:11.000Z,"{""name"":""Aimi Kōda"",""link"":""https://x.com/aimikoda""}",[],[],"[{""id"":""69c0d9cd2c73b100043cc048"",""url"":""https://video.twimg.com/amplify_video/2035587127161892864/vid/avc1/1280x720/wrFPjn99Y2EgBAaH.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2035587127161892864/img/HaPr8ms-CbycSO1m.jpg"",""caption"":null}]"
1883,Bus Disassembly and Reorganization,"A prompt describing a surreal scene where an old, oversized American-style bus in a forest parking lot violently disassembles and reorganizes itself, while a young Asian driver reacts in shock.","An old, green, oversized, and extra-tall American-style bus is parked in a dilapidated parking lot in a forest. A young Asian driver slams on the brakes, looking tense and speechless. The bus begins to violently disassemble and reorganize from the inside out,",https://x.com/sumiturkude007/status/2035706777539321865,2026-03-22T13:14:52.000Z,"{""name"":""sammy"",""link"":""https://x.com/sumiturkude007""}",[],[],"[{""id"":""69c0d9cd2c73b100043cc047"",""url"":""https://video.twimg.com/amplify_video/2035705289635446785/vid/avc1/1280x720/eHSsV0LtNdiVj7hd.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2035705289635446785/img/LrhhTpta8k6TnRVq.jpg"",""caption"":null}]"
1882,Adventurer on Dragon Approaching Pirate Ship,"A prompt for generating a video scene of an adventurer mounted on a dragon soaring towards an unsuspecting pirate ship on a choppy sea. The description focuses on the action, the dragon's appearance, and the setting.","An adventurer, mounted on her dragon, soars through the sky, the massive creature's wings beating fiercely as it nears a pirate ship on the horizon. The ship, perched on the choppy sea, seems unaware of the looming threat. The dragon, with scales shimmering in the",https://x.com/timikareem/status/2035786884580794712,2026-03-22T18:33:11.000Z,"{""name"":""Timi"",""link"":""https://x.com/timikareem""}",[],[],"[{""id"":""69c0d9cb2c73b100043cc045"",""url"":""https://video.twimg.com/amplify_video/2035786778305839104/vid/avc1/1920x1080/Wb6J-ckr5-wdpMng.mp4?tag=21"",""thumbnail"":""https://pbs.twimg.com/amplify_video_thumb/2035786778305839104/img/-7-W11x-Dl6SEdjx.jpg"",""caption"":null}]"
1881,Cinematic Beach Scene with Sandworm and Warrior,"A detailed, two-part prompt for generating a high-action, cinematic video sequence featuring a massive Dune-style sandworm bursting out of a beach and a warrior igniting a purple lightsaber to fight it. The prompt emphasizes dynamic camera work, epic VFX, and photorealistic compositing.","Cinematic beach scene, sunny day, realistic raw footage of people walking on sand near ocean waves. Suddenly a massive sandworm monster bursts out of the sand in the background,a huge gaping mouth with teeth,Dune-style giant worm,dust & sand explosion. In the foreground a fierce",https://x.com/Ankit_patel211/status/2035610092553503193,2026-03-22T06:50:40.000Z,"{""name"":""ANKIT PATEL 🇮🇳 | AI"",""link"":""https://x.com/Ankit_patel211""}",[],[],"[{""id"":""69c0d9c92c73b100043cc044"",""url"":""https://video.twimg.com/ext_tw_video/2035609877171900416/pu/vid/avc1/1280x720/Mqtz8wQaMeYmmcn8.mp4?tag=19"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/2035609877171900416/pu/img/BhK5UfNHWjvAK43H.jpg"",""caption"":null}]"
1880,Seedance 2.0 Prompt: Gugu Gaga on a Mountain Top,"A highly detailed prompt for Seedance 2.0 to generate a 3D CGI kawaii animation of an ultra-cute anthropomorphic penguin girl (Gugu Gaga) standing on a snowy rock in a majestic mountain landscape, featuring soft cinematic lighting and a dreamy atmosphere.","A highly detailed 3D CGI kawaii animation still of an ultra-cute anthropomorphic penguin girl standing on a snowy rock in a majestic snow-covered mountain landscape, fluffy black penguin body with pure white belly patch, small wings, yellow webbed feet and large yellow beak, chibi anime girl face with short black bob haircut + straight bangs + blue hair clip, huge sparkling emerald-green eyes with long lashes, tiny blushing cheeks, innocent shy expression, one black wing/flipper raised cutely to her beak in a kissing gesture, soft cinematic golden-hour lighting with volumetric god rays, realistic fluffy fur and powdery snow textures, vibrant yet soft color palette of black-white-yellow-green against cool blue-white mountains, dreamy atmosphere, trending TikTok cute animal meme style, 15-second loop ready, vertical 9:16 aspect ratio, 4K --ar 9:16 --stylize 250 --v 6 --q 2",https://x.com/Just_sharon7/status/2035579143249920496,2026-03-22T04:47:41.000Z,"{""name"":""Sharon Riley"",""link"":""https://x.com/Just_sharon7""}",[],[],"[{""id"":""69c0d9c72c73b100043cc043"",""url"":""https://video.twimg.com/ext_tw_video/2035579068780101632/pu/vid/avc1/1080x1920/7rE1EwUeTPRvCtM7.mp4?tag=19"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/2035579068780101632/pu/img/Msk4hKkVGQkHJi3a.jpg"",""caption"":null}]"
