id,title,description,content,sourceLink,sourcePublishedAt,author,sourceMedia,sourceReferenceImages,sourceVideos
22825,Song-to-Image Visualization,A prompt that translates the mood and title of a classic rock song into a visual artwork.,"{argument name=""曲名"" default=""Welcome To The Jungle""} ({argument name=""アーティスト"" default=""Guns N' Roses""})",https://x.com/Spoonful_of_Fun/status/2059771634060247330,2026-05-27T23:00:00.000Z,"{""name"":""一抹のFun"",""link"":""https://x.com/Spoonful_of_Fun""}","[""https://pbs.twimg.com/media/HJVOfwoaYAALUu9.jpg""]",,
22824,Sketch to Realistic Color Photo Transformation,"A transformation prompt to convert drawings or sketches into realistic color photographs, showing the comparison across multiple models.","この絵を、{argument name=""スタイル"" default=""リアルな人間の写真""}に変えて。{argument name=""色"" default=""カラー""}で。",https://x.com/ad6000gj200/status/2059514028003938674,2026-05-27T05:56:22.000Z,"{""name"":""奥山ギュンターたつき"",""link"":""https://x.com/ad6000gj200""}","[""https://pbs.twimg.com/media/HJTdFnJbgAApO99.jpg"",""https://pbs.twimg.com/media/HJTdFnLbwAAw-8G.jpg"",""https://pbs.twimg.com/media/HJTdFnLb0AAvGjP.jpg""]",,
22823,Drawing to Realistic Photo Transformation,"A creative instruction to transform an existing artistic drawing into a realistic, color human photograph.","この絵を、{argument name=""スタイル"" default=""リアルな人間の写真""}に変えて。{argument name=""色彩"" default=""カラー""}で。",https://x.com/ad6000gj200/status/2059741970839511357,2026-05-27T21:02:08.000Z,"{""name"":""奥山ギュンターたつき"",""link"":""https://x.com/ad6000gj200""}","[""https://pbs.twimg.com/media/HJWsZ9raEAEQPkB.jpg"",""https://pbs.twimg.com/media/HJWsZ9pbIAArIe-.jpg"",""https://pbs.twimg.com/media/HJWsZ9raAAAq2aX.jpg""]",,
22822,Van Gogh Sower Style Generation,A prompt inspired by Van Gogh's The Sower to generate artistic images in a similar theme using Nano Banana Pro.,"{argument name=""画家名"" default=""ゴッホ""}　{argument name=""主題"" default=""種まく人""}",https://x.com/NOBU79834619/status/2059653703179944394,2026-05-27T15:11:24.000Z,"{""name"":""クラリネットクラリオンNOBU"",""link"":""https://x.com/NOBU79834619""}","[""https://pbs.twimg.com/media/HJVcHy1acAE5HCK.jpg""]",,
22821,@mitte_ai Seedance 2.0 Storyboard-to-Video Prompt:,,"Use @[storyboard ref] as the authoritative 15-second cinematic shot blueprint. Do not render the storyboard sheet itself: exclude all panel borders, headers, text, labels, project card, director strip, style swatches and page layout from",https://x.com/aimikoda/status/2059583329951691004,2026-05-27T10:31:45.000Z,"{""name"":""Kōda"",""link"":""https://x.com/aimikoda""}","[""https://pbs.twimg.com/media/HJUcGKQWIAEOHQR.jpg""]",,
22820,Kung Fu Character Storyboard Sheet,"A specialized prompt for creating professional 16:9 storyboard sheets featuring specific character identities, such as a monkey kung fu master and a serpent master, with a project card layout.","Create a {argument name=""aspect ratio"" default=""16:9""} STORYBOARD SHEET image. Use the two provided reference images for character identity only. Image A is {argument name=""character A"" default=""Whoking, the monkey kung fu master""}. Image B is {argument name=""character B"" default=""Dao Wang, the serpent kung fu master""}. [PROJECT CARD] Create a designed",https://x.com/aimikoda/status/2059583065001808275,2026-05-27T10:30:42.000Z,"{""name"":""Kōda"",""link"":""https://x.com/aimikoda""}","[""https://pbs.twimg.com/media/HJUbzn4XYAA6rAW.jpg"",""https://pbs.twimg.com/media/HJUb0mqWIAAv-Np.jpg""]",,
22819,Alpine Spring Portrait of a Woman,A detailed photorealistic prompt describing a woman in her late 20s sitting outdoors in a spring alpine setting with blooming tulips and cherry blossoms.,"A young woman in her late 20s with long, wavy dark brown hair sitting cross-legged on a low concrete ledge outdoors. She is wearing a {argument name=""shirt color"" default=""rust/terracotta orange""} short-sleeve crew neck t-shirt, {argument name=""trousers style"" default=""loose beige linen wide-leg trousers""}, and clean white low-top sneakers. She has a relaxed, natural smile and is looking slightly upward and to the left. Small silver stud earrings. Background features a lush green meadow with {argument name=""spring flowers"" default=""colorful spring tulips (pink, yellow, white)""} in bloom, blossoming white cherry tree branches overhead, and traditional Alpine wooden houses with mountains in the soft-focused distance. Natural daylight, spring atmosphere. Shallow depth of field, sharp subject, bokeh background. Medium shot, eye-level angle, photorealistic portrait photography style.",https://x.com/AIwithZahra/status/2059562159085105238,2026-05-27T09:07:38.000Z,"{""name"":""Zahra"",""link"":""https://x.com/AIwithZahra""}","[""https://pbs.twimg.com/media/HJUI2ISbwAABmWg.jpg""]",,
22818,Realistic Summer Heat Lifestyle Portrait,"A vivid 4K portrait capturing the exhausting feeling of intense summer heat, featuring realistic sweat details and natural sunlight.","A stunning 4K indoor summer lifestyle portrait of {argument name=""subject"" default=""a young woman""}, capturing the mood of intense, suffocating summer heat and the exhausted search for cool relief. Shot in a medium shot using a 50mm prime lens at f/2.8, ISO 100, and a 1/500s shutter speed. She is kneeling on the floor in front of a pedestal {argument name=""fan color"" default=""fan with blue blades""}, leaning forward tiredly with her arms resting loosely downwards between her legs. Her head is slightly tilted toward the airflow, her long hair blowing freely in the wind. She wears a {argument name=""outfit"" default=""fitted white tank top and black sports shorts with white trim""}. Her expression is relaxed but shows her breathing heavily from the heat, with her lips lightly parted. Authentic, realistic drops of sweat are visible on her face, neck, and legs; her smooth, flawless skin glistens, spectacularly catching the light. The scene is set in a minimalist room during the day, near a window, with a wall-mounted split air conditioner visible in the softly blurred background (bokeh). Next to her on the floor are a whole watermelon and two juicy, freshly cut slices. Bright, harsh natural sunlight pours in from a window on the right, creating strong, sharp directional shadows to the left that dramatically highlight the specular shine of the sweat. Tack-sharp focus on the model's face and sweat droplets. --ar 9:16",https://x.com/NameIsSudee/status/2059446025308508599,2026-05-27T01:26:09.000Z,"{""name"":""Sadie 🥀"",""link"":""https://x.com/NameIsSudee""}","[""https://pbs.twimg.com/media/HJSfO5dakAAwOeH.jpg"",""https://pbs.twimg.com/media/HJSfPMLbEAAaCEh.jpg"",""https://pbs.twimg.com/media/HJSfPRlbAAAZH4W.jpg"",""https://pbs.twimg.com/media/HJSfPVkbcAAHBzC.jpg""]",,
22817,Retro Cosmic Watercolor Collage,A surreal digital collage combining a retro TV showing a galaxy with vintage astronomical charts and watercolor floral art.,"A digital collage artwork featuring a young man with styled brown hair sitting casually on top of a {argument name=""retro device"" default=""retro red television screen""}, which displays a vibrant turquoise and blue galaxy inside it. He is wearing a {argument name=""outfit"" default=""mustard yellow sweatshirt with a textured graphic pattern across the chest""}, dark green corduroy trousers rolled at the cuffs, teal socks, and worn-out blue and black high-top sneakers. The background is a surreal, artistic mix of deep blue and purple watercolor splashes, adorned with large, iridescent glowing purple lilies. Elements of astronomy and navigation float in the upper half, including a golden celestial zodiac chart, a detailed antique brass astrolabe, a compass rose, and a fine black grid pattern arcing across the sky. The overall aesthetic combines vintage retro-futurism, cosmic surrealism, and a dreamy watercolor collage style.",https://x.com/Minahil42298354/status/2059507222632140864,2026-05-27T05:29:20.000Z,"{""name"":""Minahil"",""link"":""https://x.com/Minahil42298354""}","[""https://pbs.twimg.com/media/HJTW53nXoAAL2mX.jpg""]",,
22816,Post-Apocalyptic 3D Zombie Survivor,"A fierce and detailed 3D render of a female survivor standing over a zombie, armed with a chainsaw and crowbar.","Digital 3D render of a young woman bust portrait with crescent-shaped bangs, oversized fashionable sunglasses perched on top of her head, cream white background. Angry fierce expression, gray shorts, dual 5.56mm pistols holstered on both sides of her waist, standing on a zombie crushed to half-body. Left hand holding an {argument name=""primary weapon"" default=""electric chainsaw""}, right hand gripping a {argument name=""secondary weapon"" default=""crowbar""} impaled into the zombie's skull. {argument name=""outfit"" default=""White spaghetti-strap tank top""}, hiking boots, legs and arms covered in mud and battle scars. Ultra-high detail, cinematic lighting, high-resolution 3D rendering, photorealistic, dramatic shadows, intense atmosphere.",https://x.com/kaanakz/status/2059700013450531308,2026-05-27T18:15:25.000Z,"{""name"":""Kaan"",""link"":""https://x.com/kaanakz""}","[""https://pbs.twimg.com/media/HJWEdKfW0AQnmFq.jpg"",""https://pbs.twimg.com/media/HJWFQ3CWsAQksEJ.jpg""]",,
